source,lens_focus_amplitude_nm,lens_focus_phase_deg,uniform_focus_amplitude_nm,uniform_focus_phase_deg,phase_error_to_outer_deg,current_extra_path_mm,calculated_correction_mm,corrected_extra_path_mm,corrected_amplitude_mm
centre,0.31402492519558284,-111.79462203353215,0.22484937916275058,-133.88009046533335,35.3613239350071,18.035693703148393,1.9456364425991912,19.981330145747584,31.34672028619419
inner_pair,0.27325904935604184,-45.24166106696317,0.301286965290031,157.5009054073229,101.91428490157608,12.937849583010621,5.607486503910028,18.54533608692065,30.065183851125653
outer_pair,0.07415840242493658,-147.15594596853924,0.07231728752855472,-155.26308256853468,-0.0,0.0,0.0,0.0,0.0
