channel,y_mm,target_delay_us,extra_path_mm,bend_amplitude_mm,inner_radius_mm
1,-57.4,0.0,0.0,0.0,Inf
2,-28.7,2.6990507799694266,12.937849583010621,24.66569557952898,16.27929117268747
3,0.0,3.762545919585869,18.035693703148393,29.60200249816743,13.272801501612213
4,28.7,2.6990507799694266,12.937849583010621,24.66569557952898,16.27929117268747
5,57.4,0.0,0.0,0.0,Inf
