channel,y_mm,target_delay_us,group_delay_path_mm,phase_correction_mm,extra_path_mm,bend_amplitude_mm
1,-57.39999999999999,0.0,0.0,0.0,0.0,0.0
2,-49.199999999999996,0.8888953478362753,4.260903274103612,1.6021390011171517,5.863042275220764,16.21099612758359
3,-41.0,1.6929155392326454,8.114959068529043,3.2042780022343016,11.319237070763345,22.94827223248953
4,-32.8,2.393716476756054,11.474235294304012,4.806417003351453,16.280652297655465,27.969503132220822
5,-24.599999999999998,2.970790950113789,14.240431021300308,5.084365066579909,19.324796087880216,30.7649577386062
6,-16.4,3.4030346821887,16.312383290700623,4.038122191919669,20.350505482620292,31.670929829307404
7,-8.2,3.6714430596134084,17.598993842718528,2.9918793172594302,20.59087315997796,31.880929038813733
8,0.0,3.7625459195858673,18.035693703148386,1.9456364425991912,19.981330145747577,31.346720286194156
9,8.2,3.6714430596134084,17.598993842718528,2.9918793172594302,20.59087315997796,31.880929038813733
10,16.4,3.4030346821887,16.312383290700623,4.038122191919669,20.350505482620292,31.670929829307404
11,24.599999999999998,2.970790950113789,14.240431021300308,5.084365066579909,19.324796087880216,30.7649577386062
12,32.8,2.393716476756054,11.474235294304012,4.806417003351453,16.280652297655465,27.969503132220822
13,41.0,1.6929155392326454,8.114959068529043,3.2042780022343016,11.319237070763345,22.94827223248953
14,49.199999999999996,0.8888953478362753,4.260903274103612,1.6021390011171517,5.863042275220764,16.21099612758359
15,57.39999999999999,0.0,0.0,0.0,0.0,0.0
