group,y_mm,pressure_weight
1,0.0,1.5560537193212447
2,8.2,1.6114949716763904
3,16.4,1.3467346755912462
4,24.6,0.7942636060302262
5,32.8,0.5483231653696594
6,41.0,0.9979414531215431
7,49.2,0.24113577820967005
8,57.4,0.3536598356419299
