configuration,selected_focus_ux_m,uniform_focus_ux_m,fem_focus_gain,selected_local_peak_m,local_peak_x_mm,local_peak_y_mm
polymer_direct,1.2579619011505546e-8,8.295559525026168e-9,1.5164280327993747,1.4865585718018534e-8,48.0,-8.0
polymer_matched,1.1580337508547e-8,1.1812871318287734e-8,0.9803152168955955,2.4651129467803947e-8,59.5,0.0
aluminium,2.104434676567495e-8,1.2883964685693604e-8,1.6333750735162027,2.310592234872589e-8,108.0,-8.0
