group,abs_y_mm,base_focus_ux_abs_m,perturbed_focus_ux_abs_m,amplitude_derivative_m_per_mm,phase_derivative_deg_per_mm,complex_derivative_real_m_per_mm,complex_derivative_imag_m_per_mm
1,0.0,4.099549312569646e-9,4.095677686257765e-9,-1.5486505247523e-11,-0.7625768800287039,3.7509918507753626e-11,-4.2510340877856546e-11
2,8.2,7.73841879501811e-9,7.729650911389533e-9,-3.507153451431085e-11,0.7813530272197301,-9.906224097075178e-11,5.040521839454194e-11
3,16.4,6.075114930425762e-9,6.084570321337374e-9,3.7821563646447163e-11,0.07719323929085337,3.679465543183087e-11,1.1988334742094395e-11
4,24.6,3.846906433642224e-9,3.888352849047758e-9,1.6578566162213407e-10,0.11049945969560021,1.5961231899823426e-10,4.543598536394417e-11
5,32.8,2.708750456483162e-9,2.6614802643133223e-9,-1.8908076867935885e-10,-5.870372381599019,-2.450492599804253e-10,-2.2666663855108803e-10
6,41.0,3.233012600791312e-9,3.178489076858042e-9,-2.180940957330807e-10,0.9858076047983245,-1.3722091142590282e-10,1.7826246724012988e-10
7,49.2,5.551223475549543e-9,6.490140458921151e-9,3.755667933486431e-9,-27.07659608977227,-4.535686378441848e-9,-1.2527332997811188e-9
8,57.4,5.1956886028800045e-9,5.243150122159261e-9,1.8984607711702703e-10,-0.2629304170203018,1.311821588599508e-11,1.9090083318467597e-10
