node_id,depth,left_id,right_id,leaves,left_leaves,right_leaves,node_power_fraction,left_power_fraction,right_power_fraction,left_junction_width_mm,right_junction_width_mm,small_to_large_output_amplitude_ratio
16,3,1,15,1;15,1,15,0.004358172976236775,0.5,0.5,3.5,3.5,1.0
17,2,3,16,1;3;15,3,1;15,0.030168656482082994,0.8555397062900342,0.14446029370996585,5.9887779440302396,1.011222055969761,0.4109170499805894
18,3,2,4,2;4,2,4,0.11601924864297986,0.2829881182827054,0.7170118817172945,1.980916827978938,5.019083172021062,0.6282332589678908
19,3,13,14,13;14,13,14,0.05864255236389642,0.4401323350607873,0.5598676649392126,3.080926345425511,3.919073654574488,0.8866433173828349
20,2,18,19,2;4;13;14,2;4,13;14,0.17466180100687625,0.6642508434824412,0.3357491565175589,4.649755904377089,2.3502440956229123,0.7109538458873774
21,1,17,20,1;2;3;4;13;14;15,1;3;15,2;4;13;14,0.2048304574889592,0.1472859888706207,0.8527140111293795,1.031001922094345,5.968998077905656,0.41560332931730826
22,3,5,7,5;7,5,7,0.18897368991633387,0.4213613281541715,0.5786386718458286,2.9495292970792004,4.0504707029208005,0.8533429591383551
23,3,8,9,8;9,8,9,0.27145839757654733,0.5971851085720844,0.4028148914279157,4.180295760004591,2.81970423999541,0.8212932885576412
24,2,22,23,5;7;8;9,5;7,8;9,0.4604320874928812,0.41042684697611487,0.5895731530238851,2.872987928832804,4.127012071167196,0.8343514615678421
25,3,6,10,6;10,6,10,0.1719240702638887,0.5,0.5,3.5,3.5,1.0
26,3,11,12,11;12,11,12,0.16281338475427065,0.4890642442543557,0.5109357557456444,3.4234497097804897,3.5765502902195108,0.9783625227234115
27,2,25,26,6;10;11;12,6;10,11;12,0.3347374550181593,0.5136087034376298,0.4863912965623704,3.5952609240634086,3.4047390759365928,0.9731431058992445
28,1,24,27,5;6;7;8;9;10;11;12,5;7;8;9,6;10;11;12,0.7951695425110404,0.5790363725940728,0.4209636274059273,4.053254608158509,2.946745391841491,0.8526471877122526
29,0,21,28,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,1;2;3;4;13;14;15,5;6;7;8;9;10;11;12,1.0,0.2048304574889592,0.7951695425110404,1.4338132024227144,5.566186797577283,0.5075366386382734
