channel,y_mm,target_delay_us,group_delay_path_mm,phase_correction_mm,extra_path_mm,bend_amplitude_mm
1,-57.4,0.0,0.0,0.0,0.0,0.0
2,-43.05,1.500826288515877,7.194182827218415,2.8037432519550145,9.99792607917343,21.472150560885204
3,-28.7,2.6990507799694266,12.937849583010621,5.607486503910028,18.54533608692065,30.065183851125653
4,-14.35,3.4861442810103855,16.71076760285925,3.77656147325461,20.48732907611386,31.790570999321638
5,0.0,3.762545919585869,18.035693703148393,1.9456364425991912,19.981330145747584,31.34672028619419
6,14.35,3.4861442810103855,16.71076760285925,3.77656147325461,20.48732907611386,31.790570999321638
7,28.7,2.6990507799694266,12.937849583010621,5.607486503910028,18.54533608692065,30.065183851125653
8,43.05,1.500826288515877,7.194182827218415,2.8037432519550145,9.99792607917343,21.472150560885204
9,57.4,0.0,0.0,0.0,0.0,0.0
