element_index,center_y_mm,delay_fraction,required_delay_us,extra_path_mm,path_length_mm,bend_amplitude_mm,minimum_inner_radius_mm,weight_real,weight_imag,weight_amplitude,weight_phase_deg
1,-33.6,0.0,0.0,0.0,50.663944208799734,0.0,Inf,1.0,-0.0,1.0,-0.0
2,-28.799999999999997,0.23611357309393563,1.3639721773923303,2.29596838476543,52.959912593565164,6.276076267107706,9.559768346730294,-0.39980827538000735,-0.8372957269242101,0.927852785407188,-115.52445115941302
3,-24.0,0.4497413574586796,2.5980492800905104,4.373284959928201,55.03722916872793,8.82383497593441,6.5685303987411,-0.6637567011771054,0.5578898436127007,0.8670721054005351,139.9528303125841
4,-19.2,0.6359996228598548,3.674019155466915,6.184460332689228,56.84840454148896,10.65599465335793,5.301607439635763,0.5381421684221159,0.6151768153864117,0.8173368385329418,48.82133116825254
5,-14.399999999999999,0.7894206958640931,4.560296349367181,7.676326846582442,58.340271055382175,12.01778474876231,4.610206424303265,0.6982708474534911,-0.3442544328332644,0.7785199361151706,-26.243753074285177
6,-9.6,0.9043693750296333,5.224327638019181,8.794087802788155,59.45803201158789,12.977930888461689,4.209943172948619,0.09817092174566257,-0.7442026481955051,0.7506497928179263,-82.48525964288639
7,-4.8,0.975764264564402,5.636759001694667,9.488331708624246,60.15227591742398,13.553715225502867,3.997112464876607,-0.3379080980669951,-0.6514179782030116,0.733844169470163,-117.41698898404441
8,0.0,1.0,5.776763103956275,9.724,60.38794420879974,13.74602457793819,3.9300000000000006,-0.4609973180507959,-0.5637318034878935,0.728225290355766,-129.2749266618936
9,4.8,0.975764264564402,5.636759001694667,9.488331708624246,60.15227591742398,13.553715225502867,3.997112464876607,-0.3379080980669951,-0.6514179782030116,0.733844169470163,-117.41698898404441
10,9.6,0.9043693750296333,5.224327638019181,8.794087802788155,59.45803201158789,12.977930888461689,4.209943172948619,0.09817092174566257,-0.7442026481955051,0.7506497928179263,-82.48525964288639
11,14.399999999999999,0.7894206958640931,4.560296349367181,7.676326846582442,58.340271055382175,12.01778474876231,4.610206424303265,0.6982708474534911,-0.3442544328332644,0.7785199361151706,-26.243753074285177
12,19.2,0.6359996228598548,3.674019155466915,6.184460332689228,56.84840454148896,10.65599465335793,5.301607439635763,0.5381421684221159,0.6151768153864117,0.8173368385329418,48.82133116825254
13,24.0,0.4497413574586796,2.5980492800905104,4.373284959928201,55.03722916872793,8.82383497593441,6.5685303987411,-0.6637567011771054,0.5578898436127007,0.8670721054005351,139.9528303125841
14,28.799999999999997,0.23611357309393563,1.3639721773923303,2.29596838476543,52.959912593565164,6.276076267107706,9.559768346730294,-0.39980827538000735,-0.8372957269242101,0.927852785407188,-115.52445115941302
15,33.6,0.0,0.0,0.0,50.663944208799734,0.0,Inf,1.0,-0.0,1.0,-0.0
