element_index,center_y_mm,actual_amplitude_over_edge,actual_phase_deg_over_edge,expected_amplitude_over_edge,expected_phase_deg_over_edge,phase_error_deg
1,-33.6,0.9587190492247928,1.075953686163083,1.0,0.0,1.075953686163083
2,-28.799999999999997,0.9245619430004094,-124.90277859155184,0.927852785407188,-115.52445115941302,-9.378327432138796
3,-24.0,0.7833643939339205,144.0819955734044,0.8670721054005351,139.9528303125841,4.129165260820342
4,-19.2,0.8401951093686768,49.04020000463045,0.8173368385329418,48.82133116825254,0.21886883637790652
5,-14.399999999999999,0.7371631601380494,-33.15833801805682,0.7785199361151706,-26.243753074285177,-6.914584943771641
6,-9.6,0.6856153761685253,-78.07965601494006,0.7506497928179263,-82.48525964288639,4.405603627946336
7,-4.8,0.6852767396337707,-114.83137921558294,0.733844169470163,-117.41698898404441,2.58560976846145
8,0.0,0.6457704727812513,-116.55782917590123,0.728225290355766,-129.2749266618936,12.717097485992376
9,4.8,0.6325262622589014,-108.74458431426942,0.733844169470163,-117.41698898404441,8.672404669774986
10,9.6,0.6631950978018123,-73.47319381414935,0.7506497928179263,-82.48525964288639,9.012065828737024
11,14.399999999999999,0.7275976355229362,-27.740404978257462,0.7785199361151706,-26.243753074285177,-1.4966519039722832
12,19.2,0.8791953863487197,46.14036662214135,0.8173368385329418,48.82133116825254,-2.6809645461111886
13,24.0,0.877726106772918,138.62707474382515,0.8670721054005351,139.9528303125841,-1.3257555687589424
14,28.799999999999997,0.9895733062669457,-123.49853346957735,0.927852785407188,-115.52445115941302,-7.9740823101643254
15,33.6,1.04160557794771,-0.9903249853824474,1.0,0.0,-0.9903249853824474
