channel_index,center_y_mm,target_weight,fundamental_amplitude,fundamental_phase_relative_center_deg,fundamental_power_w_per_m,total_transmitted_power_w_per_m
1,-57.4,0.046680686457231835,0.1001719920408662,160.9111963553549,0.010034427989435362,0.4039993220653355
2,-49.2,0.1811962164562224,0.07328047705632504,156.9552902897165,0.005370028317602579,0.04338014661232266
3,-41.0,0.1606564144559632,0.038713897576223066,34.07275881132147,0.0014987658655422904,0.008194416349585282
4,-32.8,0.28842187813154824,0.06905612904484637,146.9382142817471,0.004768748958658475,0.015695308730283908
5,-24.6,0.28218115629740587,0.045271662388970346,-130.11956944972977,0.002049523415460912,0.013538833760991397
6,-16.4,0.29319282926419665,0.03199301802315603,-54.885794675434376,0.0010235532022299868,0.006539485054014649
7,-8.200000000000003,0.33067731241648995,0.035169872418375527,-7.6522773014679455,0.0012369199259248118,0.0015286271036040098
8,-7.105427357601002e-15,0.40262999469681154,0.02487074021288199,0.0,0.0006185537187366653,0.0006302193385085393
9,8.199999999999996,0.33067731241648995,0.034980754612793014,-10.426247345375048,0.0012236531932804395,0.0017843859927765113
10,16.4,0.29319282926419665,0.03080443622381559,-60.646186209983526,0.000948913291067122,0.007149961981810735
11,24.6,0.28218115629740587,0.04556288253904727,-133.78750226201356,0.0020759762652670186,0.01395698840231227
12,32.79999999999999,0.28842187813154824,0.06892912148947068,144.24839982585783,0.00475122378931021,0.01577094128386147
13,40.99999999999999,0.1606564144559632,0.039377753089248055,26.707921596987337,0.0015506074383577846,0.008415202120220084
14,49.199999999999996,0.1811962164562224,0.07439348685359054,156.41934545993098,0.005534390886235349,0.04283291588055023
15,57.399999999999984,0.046680686457231835,0.10062495311294659,158.89780526105497,0.010125381188982699,0.40959848245367614
