group,abs_y_mm,strip_indices,selected_focus_ux_real_m,selected_focus_ux_imag_m,selected_focus_ux_abs_m,selected_phase_error_deg,uniform_focus_ux_real_m,uniform_focus_ux_imag_m,uniform_focus_ux_abs_m,device_amplitude_ratio,device_phase_deg
1,0.0,8,2.210395936071693e-9,3.45260110235573e-9,4.099549312569646e-9,33.8551822861075,2.035216073024518e-9,3.0604019006237824e-9,3.675345460938196e-9,1.1154187697836613,0.9966888520487417
2,8.2,7;9,5.515544905423946e-9,5.4278807875027526e-9,7.73841879501811e-9,21.02406568978194,5.740473154070942e-9,5.870905476412229e-9,8.211002566409068e-9,0.9424450586187513,-1.102552323539436
3,16.4,6;10,6.04383525935679e-9,6.156921110731002e-10,6.075114930425762e-9,-17.700249114672086,5.678450755405523e-9,9.156971930213949e-10,5.7518087877530156e-9,1.0562094733331786,-3.343839880921709
4,24.6,5;11,3.743730350985443e-9,8.849701510832731e-10,3.846906433642224e-9,-10.21711471450007,3.908525451361475e-9,-1.1837684132646146e-9,4.083855881416905e-9,0.9419789888147397,30.149748459119902
5,32.8,4;12,2.6495685796048424e-9,-5.631299827468939e-10,2.708750456483162e-9,-35.51586603431546,2.530292027229258e-9,-8.653897504101885e-10,2.6741871967337956e-9,1.0129247719799053,6.882394447979932
6,41.0,3;13,2.5357041912865158e-9,-2.0056357423937682e-9,3.233012600791312e-9,-61.85948658425535,9.843893487135918e-10,-5.097690246719606e-9,5.1918655839072885e-9,0.6227073002067621,40.72790789980414
7,49.2,2;14,-3.1039240126262518e-9,-4.6023621977561155e-9,5.551223475549543e-9,-147.51347150953407,-9.700946296202073e-9,-1.7495362932004149e-9,9.857445728129685e-9,0.5631502955890798,45.78026661177501
8,57.4,1;15,-2.9841077018340504e-10,5.187112016366691e-9,5.1956886028800045e-9,69.77558840349768,1.5944881023187726e-10,5.172701628404872e-9,5.175158554052888e-9,1.0039670376497043,5.058141695477447
