candidate,reflection_power_fraction,all_mode_power_transmission,useful_fundamental_power_transmission,amplitude_ratio,relative_phase_deg,target_coherence,carrier_or_reduced_gain,passed
straight_modal_control,9.990661400539382e-8,1.0000903421042358,1.0000903418423162,1.0,0.0,1.0,NaN,true
equal_y_131mm,0.00013390704095671928,0.9999755272472315,0.9420469907840849,1.0000474308039464,0.0017943533661925913,1.0,NaN,false
calibrated_unequal_y_144.478mm,9.609311266373613e-5,0.9999028086241738,0.9686039905811457,0.4104547865227719,79.805935366471,NaN,NaN,false
global_15way_manifold,0.002509954792390743,0.9927555533023349,0.05279685690649126,NaN,160.9111963553549,0.13101323701824366,NaN,false
mmi_reduced_ceiling,NaN,NaN,NaN,NaN,NaN,0.6827025231058027,0.6827025231058027,false
corporate_tree_optimistic,NaN,NaN,0.8766895108684404,NaN,0.0,NaN,1.804980057189602,false
