state,path_length_mm,extra_path_mm,target_delay_us,smooth_amplitude_mm,minimum_inner_radius_mm,outlet_x_mm,peak_velocity_m_s,peak_over_zero,peak_over_equal_path,energy_over_zero,energy_over_equal_path,broadening_over_zero,broadening_over_equal_path,correlation_over_zero,correlation_over_equal_path,postcursor_ratio,transverse_energy_ratio,carrier_amplitude_over_zero,carrier_phase_deg_over_zero,carrier_group_delay_us_over_zero,envelope_delay_us_over_zero,envelope_delay_us_over_equal_path
zero,132.5,0.0,0.0,0.0,Inf,197.91,0.0038354683962876215,1.0,0.9979414477842538,1.0,0.99885013392642,1.0,1.0,1.0000000000000002,0.9997034182821479,0.09491856562097184,0.00014143430287854417,1.0,0.0,-0.0,0.0,-4.545454545454563
middle,147.15,14.65,2.392968779888568,26.393624241616386,15.098955774667939,197.91,0.0038273692283839937,1.0051521081647485,1.003082950065324,1.0006156210640726,0.999465047108717,1.0103092783505154,1.0103092783505154,0.9998044549576016,0.9998217498583365,0.09726431201456359,0.0011942164683232683,1.004359066190542,119.80164314633062,3.370656743251116,3.030303030303042,-1.3774104683195643
maximum,155.53,23.03,3.7617795905005957,33.96690875289778,11.342301416514966,197.91,0.003820819344755714,0.9996799286701361,0.9976220353379351,0.9974926665664491,0.9963456835905194,1.0103092783505154,1.0103092783505154,0.9996679872917715,0.9999019018442374,0.09758013294837561,0.00520466760898618,1.0138395206462218,-17.88638859396009,5.553048139277087,4.820936639118476,0.2754820936639129
equal_path,155.53,23.03,3.7617795905005957,0.0,Inf,220.94,0.003833420430176596,1.0020627985943633,1.0,1.001151189787661,1.0,1.0,1.0,0.9997034182821479,0.9999999999999999,0.09614228420926114,0.0001249320413325914,1.0215914917527529,-21.948637360671402,5.378380688303848,4.545454545454563,0.0
