source_group,positive_channel_index,center_y_mm,multiplicity,equal_weight,corrected_weight,unconstrained_weight
1,8,0.0,1.0,1.0,1.1714096053572907,1.1714096053572909
2,9,4.8,2.0,1.0,1.1632405911163322,1.1632405911163324
3,10,9.6,2.0,1.0,1.1984922921066246,1.1984922921066248
4,11,14.399999999999999,2.0,1.0,1.3255833613030858,1.325583361303086
5,12,19.2,2.0,1.0,0.8824114062953424,0.8824114062953425
6,13,24.0,2.0,1.0,0.39482425289956996,0.39482425289957
7,14,28.799999999999997,2.0,1.0,0.7696707275218483,0.7696707275218484
8,15,33.6,2.0,1.0,0.860399304958603,0.8603993049586031
