group,abs_y_mm,strip_indices,selected_focus_ux_real_m,selected_focus_ux_imag_m,selected_focus_ux_abs_m,selected_phase_error_deg,uniform_focus_ux_real_m,uniform_focus_ux_imag_m,uniform_focus_ux_abs_m,device_amplitude_ratio,device_phase_deg
1,0.0,8,2.2197734156986315e-9,3.4419735171362658e-9,4.095677686257765e-9,32.982395345817345,2.035216073024518e-9,3.0604019006237824e-9,3.675345460938196e-9,1.114365365048507,0.8060446320415715
2,8.2,7;9,5.490779345181258e-9,5.440482092101388e-9,7.729650911389533e-9,20.5372612263039,5.740473154070942e-9,5.870905476412229e-9,8.211002566409068e-9,0.9413772372951473,-0.9072140667344953
3,16.4,6;10,6.0530339232147475e-9,6.186891947586238e-10,6.084570321337374e-9,-18.363093525132346,5.678450755405523e-9,9.156971930213949e-10,5.7518087877530156e-9,1.0578533720197525,-3.3245415710989996
4,24.6,5;11,3.7836334307350015e-9,8.963291474242591e-10,3.888352849047758e-9,-10.871632569859143,3.908525451361475e-9,-1.1837684132646146e-9,4.083855881416905e-9,0.9521278326057587,30.177373324043817
5,32.8,4;12,2.588306264609736e-9,-6.19796642384666e-10,2.6614802643133223e-9,-37.66560184999821,2.530292027229258e-9,-8.653897504101885e-10,2.6741871967337956e-9,0.9952483010778028,5.414801352580166
6,41.0,3;13,2.50139896343004e-9,-1.9610701255837357e-9,3.178489076858042e-9,-62.29517740333876,9.843893487135918e-10,-5.097690246719606e-9,5.1918655839072885e-9,0.6122055791871982,40.97435980100371
7,49.2,2;14,-4.237845607236714e-9,-4.915545522701395e-9,6.490140458921151e-9,-154.96476325226013,-9.700946296202073e-9,-1.7495362932004149e-9,9.857445728129685e-9,0.6583998165367091,39.01111758933193
8,57.4,1;15,-2.9513121621190627e-10,5.23483722466286e-9,5.243150122159261e-9,69.02771307895966,1.5944881023187726e-10,5.172701628404872e-9,5.175158554052888e-9,1.0131380647368045,4.992409091222369
