source_group,center_y_mm,diagonal_delay_us,focus_delay_us,delay_difference_us,diagonal_phase_residual_deg,focus_phase_residual_deg,minimum_diagonal_amplitude_ratio,minimum_focus_amplitude_ratio,carrier_lens_crosstalk_ratio,carrier_uniform_crosstalk_ratio,diagonal_delay_reliable,focus_delay_reliable,center_y_over_pitch,diagonal_delay_cycles,focus_delay_cycles
1,0.0,-0.24774088959027166,-0.2257347539878487,-0.022006135602422955,86.4637820591362,94.79429919987639,0.510682687407387,0.45544255224724,0.03339017337615926,0.029874099246226166,false,false,0.0,-0.05995329528084574,-0.054627810465059386
2,4.8,7.9752212023635725,7.937430158093475,0.037791044270097274,16.693931958140663,13.716742006695721,0.5988160478453,0.535689553636525,0.06434716067367086,0.06216630371641846,true,true,1.0,1.9300035309719845,1.920858098258621
3,9.6,7.78577132606217,7.345539858280573,0.4402314677815964,19.891717413991906,18.517011381527883,0.6254584815585267,0.48711020807223077,0.05408670504568199,0.05989909517999282,true,true,2.0,1.8841566609070453,1.7776206457038985
4,14.399999999999999,6.97216290090827,6.813758505074157,0.15840439583411303,18.960456527112367,16.234566062729034,0.6508514039665406,0.7342320271545615,0.0508018250104085,0.05011423759868047,true,true,3.0,1.6872634220198013,1.648929558227946
5,19.2,5.262876282921211,6.388716646147969,-1.1258403632267582,11.157339461170645,32.191049209563296,0.74056260144627,0.716891394396416,0.04389651086051643,0.04455322882973961,true,true,4.0,1.273616060466933,1.5460694283678085
6,24.0,3.7911090111327805,3.8185073930703672,-0.027398381937586702,8.293577765729191,11.816841122246583,0.7444740566256103,0.7726415649668196,0.038061825937213516,0.04576072159936204,true,true,5.0,0.9174483806941328,0.9240787891230289
7,28.799999999999997,2.051964100959243,1.4169903293344819,0.6349737716247612,5.038624829212203,6.356266001699986,0.8532405916484566,0.7976848897474861,0.03930679406939782,0.04492836929428993,true,true,6.0,0.4965753124321368,0.3429116596989446
8,33.6,-0.008051865107888656,-0.8381073499821197,0.830055484874231,0.33281000160587926,14.182193782988554,0.9814534541192208,0.6409893749303635,0.03252386441076541,0.03369694535645413,true,true,7.000000000000001,-0.0019485513561090548,-0.20282197869567295
