source_group,center_y_mm,delay_reliable,target_delay_us,measured_delay_us,delay_error_us,old_extra_path_mm,raw_corrected_extra_path_mm,corrected_extra_path_mm,predicted_corrected_delay_us,predicted_corrected_error_us,corrected_bend_amplitude_mm,minimum_inner_radius_mm,minimum_anchor_amplitude_ratio,carrier_amplitude_ratio,carrier_phase_deg,center_y_over_pitch,target_delay_cycles,measured_delay_cycles,old_extra_path_over_lambda_p,corrected_extra_path_over_lambda_p,bend_amplitude_over_pitch,inner_radius_over_throat_width
1,0.0,false,5.776763103956275,-0.239689024482383,-6.016452128438658,9.724,6.956533009951998,6.956533009951998,5.776763103956275,0.0,11.373832376974246,4.916516130945867,0.510682687407387,0.6843595316479102,-125.28597644587592,0.0,1.3979766711574184,-0.05800474392473668,1.0056444444444446,0.7194363198326426,2.369548411869635,3.0728225818411667
2,4.8,true,5.636759001694667,7.983273067471461,2.3465140657767942,9.488331708624246,6.795889183377101,6.795889183377101,5.636759001694667,0.0,11.226948151212294,4.991306361972187,0.5988160478453,0.717210936328587,-102.74384547142112,1.0,1.3640956784101093,1.9319520823280936,0.9812719117466101,0.702822727511649,2.3389475315025616,3.1195664762326167
3,9.6,true,5.224327638019181,7.793823191170058,2.569495553150878,8.794087802788155,5.845791350345353,5.845791350345353,5.224327638019181,0.0,10.330834693909438,5.493653724996639,0.6254584815585267,0.7144337235268001,-69.56705968466025,2.0,1.2642872884006418,1.886105212263154,0.9094740377242452,0.6045647464887075,2.1522572278978,3.433533578122899
4,14.399999999999999,true,4.560296349367181,6.980214766016158,2.4199184166489776,7.676326846582442,4.899658533512882,4.899658533512882,4.560296349367181,0.0,9.38232204786738,6.129915208828984,0.6508514039665406,0.7651630627156877,-15.140367844723817,3.0,1.1035917165468578,1.6892119733759103,0.7938765371251928,0.5067168226966314,1.9546504266390374,3.831197005518115
5,19.2,true,3.674019155466915,5.2709281480291,1.596908992562185,6.184460332689228,4.352131371515641,4.352131371515641,3.674019155466915,0.0,8.80085023639624,6.5877744203350295,0.74056260144627,0.7842689086739744,58.235585322504846,4.0,0.8891126356229934,1.2755646118230421,0.6395894873977749,0.45009221876358346,1.8335104659158834,4.117359012709393
6,24.0,true,2.5980492800905104,3.799160876240669,1.2011115961501586,4.373284959928201,2.995102750749072,2.995102750749072,2.5980492800905104,0.0,7.213859839725982,8.213024607935461,0.7444740566256103,0.858463151775599,146.57900881916441,5.0,0.6287279257819035,0.919396932050242,0.45227989756522424,0.30974994259883565,1.5028874666095797,5.133140379959663
7,28.799999999999997,true,1.3639721773923303,2.0600159660671316,0.6960437886748011,2.29596838476543,1.4973122320516044,1.4973122320516044,1.3639721773923303,0.0,5.030939181951734,12.123769082102855,0.8532405916484566,0.9197180398748521,-112.18393552833342,6.0,0.33008126692894396,0.4985238637882458,0.23744630303984363,0.15485023938311465,1.048112329573278,7.577355676314284
8,33.6,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inf,0.9814534541192208,0.9814534541192208,-0.11864892983778667,7.000000000000001,0.0,0.0,0.0,0.0,0.0,Inf
