frequency_khz,source_group,center_y_mm,amplitude_ratio,wrapped_phase_deg,unwrapped_phase_deg,phase_fit_residual_deg,frequency_over_f0,center_y_over_pitch
193.8,1,0.0,0.7690575049169334,0.06600379723994848,0.06600379723994848,43.18699810015006,0.8008264462809918,0.0
242.0,1,0.0,0.6843595316479102,-125.28597644587592,-125.28597644587592,-86.4637820591362,1.0,0.0
290.1,1,0.0,0.510682687407387,8.744470816391576,8.744470816391576,43.27678395898615,1.1987603305785124,0.0
193.8,2,4.8,0.770950001789482,10.609962564540767,10.609962564540767,-8.338298309310225,0.8008264462809918,1.0
242.0,2,4.8,0.717210936328587,-102.74384547142112,-102.74384547142112,16.693931958140663,1.0,1.0
290.1,2,4.8,0.5988160478453,94.10765858148007,-265.89234141851995,-8.355633648830558,1.1987603305785124,1.0
193.8,3,9.6,0.780098395848945,35.7043962386863,35.7043962386863,-9.935530712492378,0.8008264462809918,2.0
242.0,3,9.6,0.7144337235268001,-69.56705968466025,-69.56705968466025,19.891717413991906,1.0,2.0
290.1,3,9.6,0.6254584815585267,125.76661991775572,-234.23338008224428,-9.956186701499602,1.1987603305785124,2.0
193.8,4,14.399999999999999,0.8046926877191858,77.40976249496184,77.40976249496184,-9.470383789762321,0.8008264462809918,3.0
242.0,4,14.399999999999999,0.7651630627156877,-15.140367844723817,-15.140367844723817,18.960456527112367,1.0,3.0
290.1,4,14.399999999999999,0.6508514039665406,-164.3208699013139,-164.3208699013139,-9.490072737350129,1.1987603305785124,3.0
193.8,5,19.2,0.8571488239577676,132.8267984031406,132.8267984031406,-5.572876719442495,0.8008264462809918,4.0
242.0,5,19.2,0.7842689086739744,58.235585322504846,58.235585322504846,11.157339461170645,1.0,4.0
290.1,5,19.2,0.74056260144627,-49.6381825954577,-49.6381825954577,-5.584462741728226,1.1987603305785124,4.0
193.8,6,24.0,0.8922734825489814,-160.0737281531102,-160.0737281531102,-4.142482767721464,0.8008264462809918,5.0
242.0,6,24.0,0.858463151775599,146.57900881916441,-213.42099118083559,8.293577765729191,1.0,5.0
290.1,6,24.0,0.7444740566256103,68.48749241865224,-291.5125075813478,-4.151094998007777,1.1987603305785124,5.0
193.8,7,28.799999999999997,0.9459493672385992,-84.13357558388056,-84.13357558388056,-2.5166963061797327,0.8008264462809918,6.0
242.0,7,28.799999999999997,0.9197180398748521,-112.18393552833342,-112.18393552833342,5.038624829212203,1.0,6.0
290.1,7,28.799999999999997,0.8532405916484566,-155.27629925278836,-155.27629925278836,-2.5219285230324835,1.1987603305785124,6.0
193.8,8,33.6,0.9966948235136492,0.24067731067190473,0.24067731067190473,0.1662322022558961,0.8008264462809918,7.000000000000001
242.0,8,33.6,0.9814534541192208,-0.11864892983778667,-0.11864892983778667,-0.33281000160587926,1.0,7.000000000000001
290.1,8,33.6,0.9865055053824234,0.5201649673262758,0.5201649673262758,0.16657779934998324,1.1987603305785124,7.000000000000001
