level,selected_focus_ux_m,uniform_focus_ux_m,lens_mesh_size_mm,output_mesh_size_mm,element_order,focus_gain,lens_h_over_lambda_s,output_h_over_lambda_s
linear_fine,2.104434676567495e-8,1.2883964685693604e-8,0.42,1.55,1,1.6333750735162027,0.03295922604316685,0.12163523896883005
quadratic_coarse,2.263918741097633e-8,1.6029026393450525e-8,0.75,2.6,2,1.4123869320114617,0.05885576079136938,0.2040333040767472
quadratic_refined,2.271309377059276e-8,1.6159257955212245e-8,0.6,2.0,2,1.4055777705600982,0.0470846086330955,0.15694869544365167
