thickness_mm,focus_ux_m
0.0,1.2579619011505546e-8
1.0,1.3567478786958446e-8
1.25,1.380845880773528e-8
1.4,1.4094908845704524e-8
1.5,1.3983488846385394e-8
1.6,1.4018483827432154e-8
1.75,1.3935668788446998e-8
2.0,1.3763566985052358e-8
2.25,1.3001941359923022e-8
3.0,1.1300767661367756e-8
3.5,1.1092787674322026e-8
4.0,1.0997321275330467e-8
5.0,8.5001130131257e-9
