length_mm,target_coherence,overlap_phase_deg
0.0,0.5047814689363427,-1.1462743666454665e-11
0.05,0.5047441861106756,-1.2107261395367215
0.1,0.504632395657901,-2.42142721484226
0.15,0.5044462713990755,-3.632078170360173
0.2,0.5041861021995008,-4.842653967816254
0.25,0.503852290721362,-6.053129594852066
0.3,0.5034453516920135,-7.263480073617183
0.35,0.5029659097022263,-8.473680469321923
0.4,0.5024146965525009,-9.683705898740715
0.45,0.5017925481690699,-10.893531538656369
0.5,0.5011004011143888,-12.103132634236038
0.55,0.5003392887199118,-13.312484507328874
0.6,0.499510336871388,-14.521562564676206
0.65,0.4986147594791431,-15.730342306025937
0.7,0.4976538536675672,-16.93879933214067
0.75,0.4966289947193303,-18.146909352691683
0.8,0.4955416308108407,-19.354648194030684
0.85,0.49439327757593854,-20.561991806829504
0.9,0.4931855125349449,-21.768916273580533
0.95,0.49191996942591953,-22.975397815950185
1.0,0.49059833247433987,-24.181412801976755
1.05,0.489222330636433,-25.386937753106224
1.1,0.48779373185009245,-26.59194935105808
1.15,0.4863143373257775,-27.796424444514773
1.2,0.4847859759079391,-29.000340055628268
1.25,0.4832104985355367,-30.20367338633689
1.3,0.4815897728280024,-31.406401824486938
1.35,0.4799256778207108,-32.608502949753166
1.4,0.47822009887159367,-33.80995453935302
1.45,0.4764749227580841,-35.01073457354915
1.5,0.47469203298105656,-36.2108212409358
1.55,0.47287330528999844,-37.41019294350466
1.6,0.4710206034411344,-38.60882830148592
1.65,0.46913577519789323,-39.80670615796079
1.7,0.46722064858076995,-41.00380558324246
1.75,0.4652770283714605,-42.20010587902106
1.8,0.4633066928740496,-43.395586582272735
1.85,0.46131139093410284,-44.59022746892579
1.9,0.45929283921471104,-45.78400855728736
1.95,0.4572527197268677,-46.97691011122316
2.0,0.45519267761010734,-48.168912643093215
2.05,0.4531143191579465,-49.35999691643979
2.1,0.45101921008153045,-50.55014394842768
2.15,0.4489088740038357,-51.73933501203527
2.2,0.44678479117594083,-52.92755163799819
2.25,0.44464839740610695,-54.11477561650131
2.3,0.4425010831918502,-55.300988998624426
2.35,0.44034419304473443,-56.48617409753851
2.4,0.4381790249972477,-57.67031348945322
2.45,0.43600683028093534,-58.85339001431906
2.5,0.43382881316482497,-60.03538677628286
2.55,0.43164613094316057,-61.21628714389934
2.6,0.4294598940615285,-62.39607475009932
2.65,0.4272711663705834,-63.57473349191722
2.7,0.4250809654967872,-64.75224752997929
2.75,0.42289026331985013,-65.92860128775474
2.8,0.42069998654683544,-67.10377945057171
2.85,0.41851101737327123,-68.27776696440131
2.9,0.41632419422198474,-69.45054903441115
2.95,0.4141403125507635,-70.62211112329197
3.0,0.4119601257203987,-71.79243894935959
3.05,0.40978434591509605,-72.96151848443427
3.1,0.4076136451076949,-74.12933595150268
3.15,0.40544865606257263,-75.29587782216248
3.2,0.40328997336960903,-76.46113081385512
3.25,0.4011381545029567,-77.6250818868879
3.3,0.39899372089890345,-78.78771824124954
3.35,0.3968571590474675,-79.94902731322253
3.4,0.39472892159282624,-81.10899677179404
3.45,0.39260942843807367,-82.26761451486979
3.5,0.3904990678502124,-83.4248686652931
3.55,0.38839819756162225,-84.58074756667283
3.6,0.38630714586465464,-85.7352397790225
3.65,0.3842262126963134,-86.88833407421343
3.7,0.38215567071030215,-88.04001943124543
3.75,0.38009576633404946,-89.19028503133727
3.8,0.37804672080857027,-90.33912025283932
3.85,0.3760087312093269,-91.48651466597134
3.9,0.3739819714464798,-92.63245802738744
3.95,0.3719665932431479,-93.77694027457059
4.0,0.36996272709054034,-94.91995152005869
4.05,0.36797048317897596,-96.06148204550426
4.1,0.36598995230403353,-97.20152229556916
4.15,0.3640212067472162,-98.34006287165644
4.2,0.3620643011306704,-99.47709452547963
4.25,0.3601192732456484,-100.61260815247233
4.3,0.35818614485451933,-101.74659478503725
4.35,0.35626492246625463,-102.87904558563608
4.4,0.3543555980854069,-104.00995183972141
4.45,0.35245814993471397,-105.13930494850929
4.5,0.35057254315150377,-106.26709642159386
4.55,0.348698730458199,-107.39331786940268
4.6,0.34683665280723336,-108.51796099549252
4.65,0.3449862400007779,-109.64101758868475
4.7,0.34314741128572557,-110.76247951503854
4.75,0.3413200759243953,-111.88233870966091
4.8,0.3395041337414867,-113.00058716835086
4.85,0.33769947564781966,-114.1172169390763
4.9,0.3359059841414349,-115.23222011327968
4.95,0.33412353378663623,-116.34558881701093
5.0,0.33235199167158014,-117.45731520188257
5.05,0.3305912178450278,-118.56739143584397
5.1,0.3288410657328808,-119.67580969377056
5.15,0.32710138253512655,-120.78256214786192
5.2,0.325372009603813,-121.88764095784565
5.25,0.3236527828027007,-122.99103826097834
5.3,0.3219435328491862,-124.09274616184047
5.35,0.320244085639145,-125.19275672191523
5.4,0.3185542625552824,-126.29106194894706
5.45,0.31687388075961465,-127.38765378606908
5.5,0.3152027534706614,-128.4825241006921
5.55,0.3135406902259441,-129.57566467314675
5.6,0.31188749713035474,-130.66706718506686
5.65,0.31024297709095844,-131.75672320750547
5.7,0.3086069300387841,-132.8446241887706
5.75,0.3069791531381236,-133.9307614419695
5.8,0.3053594409838765,-135.01512613224887
5.85,0.3037475857874371,-136.09770926371553
5.9,0.3021433775516176,-137.1785016660257
5.95,0.30054660423509366,-138.25749398062408
6.0,0.29895705190682464,-139.33467664662
6.05,0.29737450489091594,-140.4100398862794
6.1,0.295798745902345,-141.48357369011603
6.15,0.29422955617398167,-142.5552678015629
6.2,0.29266671557531176,-143.62511170120075
6.25,0.2911100027232599,-144.69309459052297
6.3,0.2895591950854952,-145.75920537521398
6.35,0.28801406907658694,-146.82343264791385
6.4,0.28647440014737174,-147.88576467044547
6.45,0.28493996286788537,-148.94618935547433
6.5,0.2834105310041766,-150.00469424757267
6.55,0.28188587758934236,-151.06126650365556
6.6,0.2803657749890933,-152.11589287275655
6.65,0.2788499949621485,-153.16855967510696
6.7,0.2773383087157581,-154.21925278048235
6.75,0.2758304869566311,-155.26795758577614
6.8,0.27432629993754964,-156.31465899175817
6.85,0.2728255174999347,-157.3593413789748
6.9,0.27132790911261645,-158.401988582743
6.95,0.2698332439070684,-159.4425838671883
7.0,0.26834129070934876,-160.48110989827427
7.05,0.26685181806897573,-161.5175487157668
7.1,0.2653645942849919,-162.5518817040744
7.15,0.26387938742941613,-163.58408956190078
7.2,0.26239596536833454,-164.61415227064228
7.25,0.2609140957808239,-165.64204906146045
7.3,0.259433546175935,-166.66775838095154
7.35,0.2579540839079491,-167.69125785533487
7.4,0.2564754761901032,-168.71252425307298
7.45,0.2549974901070075,-169.7315334458332
7.5,0.2535198926259427,-170.74826036769326
7.55,0.2520424506072596,-171.76267897248823
7.6,0.2505649308140686,-172.77476218918892
7.65,0.24908709992143535,-173.78448187519479
7.7,0.2476087245252806,-174.7918087674158
7.75,0.24612957115120093,-175.79671243101174
7.8,0.24464940626340578,-176.79916120564596
7.85,0.24316799627400196,-177.79912214910217
7.9,0.24168510755282338,-178.79656097810343
7.95,0.24020050643804647,-179.79144200615912
8.0,0.2387139592478058,179.216271921743
8.05,0.23722523229304598,178.2266194977986
8.1,0.23573409189185912,177.23964102361336
8.15,0.23424030438554588,176.25537848621983
