level,size_path_mm,size_focus_mm,size_receiver_mm,path_h_over_lambda_s,focus_h_over_lambda_s,receiver_h_over_lambda_s,path_k_s_h,focus_k_s_h,receiver_k_s_h,lens_nodes,uniform_nodes,lens_focus_ux_nm,uniform_focus_ux_nm,focus_gain,lens_fwhm_mm,uniform_fwhm_mm,lens_max_pair_amplitude_mismatch,lens_max_pair_phase_mismatch_deg,uniform_max_pair_amplitude_mismatch,uniform_max_pair_phase_mismatch_deg
coarse,1.1,2.2,3.2,0.22752136752136756,0.4550427350427351,0.661880341880342,1.4295589134796634,2.8591178269593267,4.158716839213566,34724,24672,4.858106942869252,1.795043534539871,2.706400624492122,3.0,11.0,0.1737135534833787,6.246989157015407,0.0894994502711613,9.640486672009203
reference,0.9,1.8,2.6,0.18615384615384617,0.37230769230769234,0.5377777777777778,1.1696391110288153,2.3392782220576307,3.3789574318610223,59751,45363,3.893043800935517,2.644509217715667,1.4721233621935859,5.0,5.0,0.11361021892738465,6.13358124812605,0.06574537849978418,12.021211693405714
refined,0.8,1.6,2.3,0.1654700854700855,0.330940170940171,0.4757264957264957,1.0396792098033916,2.079358419606783,2.9890777281847503,67536,53913,3.928164587059897,2.465622109387695,1.5931738169055456,6.0,7.0,0.12808024737711773,3.791651415432855,0.14175626040615896,5.802852222114991
