level,size_path_mm,size_focus_mm,size_receiver_mm,path_h_over_lambda_s,focus_h_over_lambda_s,receiver_h_over_lambda_s,path_k_s_h,focus_k_s_h,receiver_k_s_h,lens_focus_ux_nm,uniform_focus_ux_nm,target_focus_gain,plane_peak_gain,focus_window_amplitude_gain,focus_window_energy_gain,lens_fwhm_mm,uniform_fwhm_mm
reference,0.9,1.8,2.6,0.18615384615384617,0.37230769230769234,0.5377777777777778,1.1696391110288153,2.3392782220576307,3.3789574318610223,3.4563536643112203,2.1296316605871066,1.622981911979256,1.32169719194983,1.4750167949561397,2.1756745454026825,8.0,14.0
refined,0.8,1.6,2.3,0.1654700854700855,0.330940170940171,0.4757264957264957,1.0396792098033916,2.079358419606783,2.9890777281847503,3.4437374409302453,2.3823459071412434,1.4455236876422557,1.6235560010289598,1.7325171619556012,3.0016157164706914,8.0,6.0
fine,0.7,1.4,2.0,0.14478632478632478,0.28957264957264955,0.4136752136752137,0.9097193085779673,1.8194386171559347,2.5991980245084787,4.2195130635683356,2.2675093082789024,1.8608581001905804,1.6622694275905097,1.422329816882891,2.0230221079941186,4.0,14.0
phase1,0.5801652892561983,0.9669421487603306,1.4504132231404958,0.12,0.2,0.3,0.7539822368615503,1.2566370614359172,1.8849555921538759,2.5175353306544817,1.6455708723257105,1.529885690730786,1.541438588384598,1.5478478768195338,2.3958330497747387,6.0,24.0
phase2,0.4834710743801653,0.7735537190082644,1.2086776859504131,0.1,0.16,0.25,0.6283185307179586,1.0053096491487339,1.5707963267948966,2.794308321011693,1.2304283441634225,2.2710045117755833,1.9409603309813686,1.7962830774015326,3.22663289415912,4.0,24.0
phase3,0.3867768595041322,0.7735537190082644,1.2086776859504131,0.08,0.16,0.25,0.5026548245743669,1.0053096491487339,1.5707963267948966,2.408670893656528,1.1281054378587831,2.1351469577421245,1.9121362002781093,1.6917949746552505,2.8621702362687595,4.0,24.0
phase4,0.3384297520661157,0.7735537190082644,1.2086776859504131,0.07,0.16,0.25,0.4398229715025711,1.0053096491487339,1.5707963267948966,2.2258174777509945,1.0528297251727983,2.1141286425833736,1.9067271507170074,1.6528134684355682,2.731792361442013,4.0,24.0
