level,variant,size_path_mm,size_focus_mm,size_receiver_mm,node_count,element_count
phase1,lens,0.5801652892561983,0.9669421487603306,1.4504132231404958,71117,400373
phase1,uniform,0.5801652892561983,0.9669421487603306,1.4504132231404958,59755,332361
phase2,lens,0.4834710743801653,0.7735537190082644,1.2086776859504131,103344,590571
phase2,uniform,0.4834710743801653,0.7735537190082644,1.2086776859504131,90197,512031
phase3,lens,0.3867768595041322,0.7735537190082644,1.2086776859504131,144608,826454
phase3,uniform,0.3867768595041322,0.7735537190082644,1.2086776859504131,122980,698481
phase4,lens,0.3384297520661157,0.7735537190082644,1.2086776859504131,187176,1066109
phase4,uniform,0.3384297520661157,0.7735537190082644,1.2086776859504131,155379,880800
