group,y_mm,focus_amplitude_nm,focus_phase_deg,target_phase_deg,phase_error_deg,current_extra_path_mm,correction_mm,corrected_extra_path_mm,corrected_amplitude_mm
1,0.0,0.3762390001127843,158.49471640152302,136.65,21.844716401523023,19.981330145747577,1.2019311377358057,21.183261283483382,32.39491518972059
2,8.2,0.6040333680819198,136.3219518636984,136.65,-0.3280481363015903,20.59087315997796,-0.018049731681093875,20.572823428296868,31.865189161035502
3,16.4,0.5674262825383368,130.34264156421125,136.65,-6.307358435788751,20.350505482620292,-0.3470409210854554,20.003464561534837,31.36621686385643
4,24.599999999999998,0.38077180915202924,127.43314871093503,136.65,-9.216851289064978,19.324796087880216,-0.5071258583808043,18.817670229499413,30.310835334515673
5,32.8,0.37898808747770935,116.41484260673586,136.65,-20.23515739326414,16.280652297655465,-1.1133706339283662,15.167281663727099,26.90031144571141
6,41.0,0.40428190550308746,134.71827074309198,136.65,-1.9317292569080444,11.319237070763345,-0.10628682473493457,11.21295024602841,22.832198634593787
7,49.199999999999996,0.1744883257216123,148.87958093427278,136.65,12.229580934272796,5.863042275220764,0.6728910486261928,6.535933323846956,17.15630678594313
8,57.39999999999999,0.15440872175172798,151.5211099963057,136.65,14.871109996305728,0.0,0.8182321907373387,0.8182321907373387,5.946929736806657
