pulse_cycles,band_spectral_energy_fraction,optimized_anchor_impulse_gain,broadening_ratio,pulse_correlation,postcursor_ratio,equal_energy_scale,minimum_weight,maximum_weight,objective_evaluations,passed
5.0,0.9161934298994359,1.9721366065669677,1.150735294117647,0.9690813348832384,0.07853682298331043,1.643304673296841,0.07830755342651782,1.0,1547,false
6.0,0.9658376966545237,1.9534327603428494,1.1818181818181819,0.9745000354040876,0.07029033826896543,1.5991656198199093,0.08091964021559996,1.0,1813,false
7.0,0.9888911796727441,1.9380102780851274,1.1986062717770034,0.9784669630248141,0.06674937051961506,1.5560712215005053,0.08453845893244312,1.0,1785,false
8.0,0.9972591049937792,1.9288001247175672,1.1980519480519483,0.9820751214984589,0.06320782471401025,1.5169274265094643,0.08777580831007692,1.0,1701,false
10.0,0.9994842118673741,1.9328588913331144,1.1666666666666667,0.9877514930502487,0.06285055225193588,1.4516232987506685,0.09476009965049695,1.0,1785,false
12.0,0.9997023677407507,1.9546079210233411,1.1272321428571428,0.9912325035164435,0.06150213489955486,1.4099662023746478,0.101187317808172,1.0,1883,false
15.0,0.9999395890288458,1.9784315144789277,1.0948121645796063,0.9941823822520353,0.06152904378417931,1.3691376820204562,0.10746118159352737,1.0,1827,false
20.0,0.9999861778248345,1.9894565584039945,1.0641711229946524,0.9966277930774876,0.06178198736052293,1.3255682903163715,0.1123457945355747,1.0,1841,false
30.0,0.9999982240431285,2.009152386870921,1.039250669045495,0.998456594311822,0.05724666533880233,1.291124564333853,0.11593941601987037,1.0,1785,true
50.0,0.9999998635355495,2.025705098675483,1.021948608137045,0.9994307861673724,0.05617877958213561,1.2614739892280815,0.11931151145585064,1.0,1841,true
