group,y_mm,pressure_weight
1,0.0,1.0
2,8.2,0.8212932885576412
3,16.4,0.7281942059110046
4,24.6,0.7008448451782485
5,32.8,0.7163447381726632
6,41.0,0.3990175013586375
7,49.2,0.4500315894067127
8,57.4,0.11593941601987037
