group,y_mm,pressure_weight
1,0.0,1.0
2,8.2,0.8512664110331478
3,16.4,0.7779652617190805
4,24.6,0.6678363386665702
5,32.8,0.5728254388104279
6,41.0,0.33033690475551797
7,49.2,0.22372969184628047
8,57.4,0.07830755342651782
